time,lon,lat,ETP
2021-10-22,13.4,9.3,2.828
2021-10-23,11.52,3.87,2.765
2021-10-23,13.4,9.3,3.249
2021-10-24,11.52,3.87,4.298
2021-10-24,13.4,9.3,3.23
2021-10-25,11.52,3.87,1.498
2021-10-25,13.4,9.3,3.5420000000000003
2021-10-26,11.52,3.87,3.58
2021-10-26,13.4,9.3,3.064
2021-10-27,11.52,3.87,3.7640000000000002
2021-10-27,13.4,9.3,3.331
2021-10-28,11.52,3.87,3.249
2021-10-28,13.4,9.3,3.763
2021-10-29,11.52,3.87,3.279
2021-10-29,13.4,9.3,3.431
2021-10-30,11.52,3.87,2.562
2021-10-30,13.4,9.3,3.516
2021-10-31,11.52,3.87,2.08
2021-10-31,13.4,9.3,3.334
2021-11-01,11.52,3.87,1.933
2021-11-01,13.4,9.3,3.346
2021-11-02,11.52,3.87,2.322
2021-11-02,13.4,9.3,3.103
2021-11-03,11.52,3.87,2.333
2021-11-03,13.4,9.3,3.061
2021-11-04,11.52,3.87,4.268
2021-11-04,13.4,9.3,3.033
2021-11-05,11.52,3.87,3.6590000000000003
2021-11-05,13.4,9.3,2.975
2021-11-06,11.52,3.87,3.865
2021-11-06,13.4,9.3,3.1910000000000003
2021-11-07,11.52,3.87,3.74
2021-11-07,13.4,9.3,2.883
2021-11-08,11.52,3.87,2.09
2021-11-08,13.4,9.3,2.951
2021-11-09,11.52,3.87,2.479
2021-11-09,13.4,9.3,3.16
2021-11-10,11.52,3.87,2.337
2021-11-10,13.4,9.3,3.404
2021-11-11,11.52,3.87,2.181
2021-11-11,13.4,9.3,3.458
2021-11-12,11.52,3.87,2.745
2021-11-12,13.4,9.3,3.242
2021-11-13,11.52,3.87,4.206
2021-11-13,13.4,9.3,3.299
2021-11-14,11.52,3.87,1.672
2021-11-14,13.4,9.3,3.4
2021-11-15,11.52,3.87,2.61
2021-11-15,13.4,9.3,3.225
2021-11-16,11.52,3.87,2.632
2021-11-16,13.4,9.3,3.2
2021-11-17,11.52,3.87,3.08
2021-11-17,13.4,9.3,3.265
2021-11-18,11.52,3.87,3.5420000000000003
2021-11-18,13.4,9.3,3.333
2021-11-19,11.52,3.87,3.1910000000000003
2021-11-19,13.4,9.3,3.4010000000000002
2021-11-20,11.52,3.87,2.767
2021-11-20,13.4,9.3,2.996
2021-11-21,11.52,3.87,1.861
2021-11-21,13.4,9.3,2.968
2021-11-22,11.52,3.87,3.499
2021-11-22,13.4,9.3,2.8850000000000002
2021-11-23,11.52,3.87,2.5020000000000002
2021-11-23,13.4,9.3,2.726
2021-11-24,11.52,3.87,3.203
2021-11-24,13.4,9.3,2.843
2021-11-25,11.52,3.87,3.724
2021-11-25,13.4,9.3,3.021
2021-11-26,11.52,3.87,3.607
2021-11-26,13.4,9.3,3.083
2021-11-27,11.52,3.87,3.815
2021-11-27,13.4,9.3,2.875
2021-11-28,11.52,3.87,3.222
2021-11-28,13.4,9.3,2.907
2021-11-29,11.52,3.87,2.9250000000000003
2021-11-29,13.4,9.3,2.973
2021-11-30,11.52,3.87,2.766
2021-11-30,13.4,9.3,2.958
2021-12-01,11.52,3.87,3.3770000000000002
2021-12-01,13.4,9.3,3.222
2021-12-02,11.52,3.87,2.6430000000000002
